basename,mags_and_gtdb,gtdb,mag_only
SRR25445750,0.769815021,0.745676648,0.299368486
SRR25445751,0.758795614,0.745845646,0.275504474
SRR25445754,0.717334957,0.698492612,0.221443297
SRR25445755,0.749728834,0.720228536,0.27494934
SRR25445758,0.698442275,0.67731059,0.286551887
SRR25445759,0.762104382,0.721282717,0.364542173
SRR25445764,0.704873027,0.660485105,0.344139852
SRR25445766,0.750734465,0.725414846,0.266197059
SRR25445769,0.678394055,0.634256553,0.315945625
SRR25445772,0.761143136,0.741217556,0.230524293
SRR25445776,0.787825024,0.713881079,0.40654501
SRR25445780,0.754836934,0.723205714,0.275827994
SRR25445781,0.729879646,0.70732374,0.246751965
SRR25445788,0.616377411,0.593977993,0.172242917
SRR25445789,0.779591989,0.756705584,0.335842662
SRR25445804,0.725707586,0.689612585,0.332982362
SRR25445808,0.730175818,0.711030045,0.229139923
SRR25445821,0.798285318,0.778081558,0.330972461
SRR25903496,0.770453818,0.756062053,0.360561724
SRR25903497,0.777164342,0.751799842,0.358367647
SRR25903508,0.738373084,0.701216138,0.45905481
SRR25903510,0.696058148,0.673523514,0.310046786
SRR25903512,0.726110114,0.687490086,0.283098979
SRR25903516,0.749888094,0.729048223,0.307763036
SRR25903521,0.863349494,0.836273123,0.37428839
SRR25903522,0.802359791,0.787813259,0.229240982
SRR25903524,0.786669547,0.764983162,0.347448899
SRR25903525,0.755306095,0.73753325,0.349932637
SRR25903527,0.747353713,0.742859275,0.081627534
SRR25903536,0.800300031,0.779372031,0.332688104
SRR25903537,0.777594744,0.754433233,0.325791594
SRR25903542,0.708127894,0.674597093,0.279210199
SRR25903543,0.777532236,0.762407399,0.320622957
SRR25903544,0.776911751,0.750573315,0.340989161
SRR25903550,0.763002394,0.735265823,0.322657721
SRR25903553,0.795663648,0.769122849,0.385836067
SRR25903555,0.719592886,0.68311952,0.271075316
SRR25903556,0.757983067,0.735868216,0.317943091
SRR25903564,0.808760915,0.787789507,0.369911792
SRR25903565,0.807675726,0.781757647,0.422013358
SRR25903568,0.854682124,0.812179423,0.434635462
SRR25903571,0.807389485,0.792081197,0.409637775
SRR25903574,0.832186849,0.808149772,0.287982079
SRR25903575,0.696182091,0.654064655,0.363982122
SRR25903581,0.821281068,0.783778897,0.472798036
SRR25903582,0.800953013,0.784926939,0.386936106
SRR25903588,0.796822451,0.768046728,0.386879738
SRR25903589,0.779440359,0.752235391,0.34587544
SRR25903591,0.741204742,0.724425264,0.300240308
SRR25903596,0.699968962,0.678327986,0.278616418
SRR25903599,0.806541829,0.782113193,0.301429815
SRR25903605,0.759472461,0.744132944,0.377238573
SRR25903615,0.808094095,0.784973719,0.280798165
SRR25903622,0.808436891,0.787900645,0.433768936
SRR25903626,0.768165663,0.732600969,0.32740001
SRR25903628,0.754643243,0.717397091,0.346034728
SRR25903631,0.765236286,0.749211025,0.262351774
SRR25903640,0.745576371,0.70326862,0.35775927
SRR25903641,0.783402286,0.767004741,0.241474442
SRR25903667,0.825010856,0.804314241,0.369139782
SRR25903670,0.826291374,0.799193467,0.405463291
SRR25903678,0.773307156,0.750852901,0.266357654
SRR25903683,0.785348322,0.768535859,0.267266343
SRR25903687,0.72514377,0.692308483,0.278978631
SRR25903688,0.781595371,0.73891871,0.380029493
SRR25903690,0.747347476,0.722813787,0.305946984
SRR25903698,0.823815858,0.805624793,0.527827765
SRR25903703,0.796477882,0.773812744,0.345851384
SRR25903711,0.764197278,0.741878575,0.315884368
SRR25903715,0.819638647,0.79911901,0.302697031
SRR25903717,0.775600384,0.760896469,0.253643925
SRR25903719,0.76170911,0.736504585,0.323717331
SRR25903738,0.837317492,0.820174615,0.398142582
SRR25903739,0.814947745,0.793508846,0.422588931
SRR25903748,0.745018237,0.72080686,0.323792594
SRR25903758,0.787526625,0.762181638,0.302801902
SRR25903768,0.796061828,0.776062109,0.2718233
SRR25903769,0.792036643,0.774714294,0.265774861
SRR25903772,0.805854263,0.764215345,0.44728324
SRR25903773,0.833013939,0.818882504,0.440128338
SRR25903777,0.748775525,0.716378517,0.322929853
SRR25903785,0.82421574,0.811271684,0.348766631
SRR25903793,0.746634284,0.70593436,0.335912658
SRR25903798,0.791249856,0.75601612,0.432289708
SRR25903803,0.833503758,0.747981951,0.500811463
SRR25903806,0.798515827,0.768985255,0.359013773
SRR25903807,0.786310562,0.770219222,0.227195483
SRR25903812,0.726278481,0.69841107,0.301932119
SRR25903819,0.772877745,0.750089031,0.301090353
SRR25903820,0.785208792,0.771923968,0.233058773
SRR25903821,0.837261015,0.805090335,0.352014424
SRR25903823,0.847759035,0.821279413,0.498440949
SRR25903824,0.759305237,0.727850592,0.294696099
SRR25903831,0.828010854,0.80460466,0.40318008
SRR25903837,0.77390443,0.749836428,0.300394036
SRR25903838,0.807005766,0.77818885,0.376758985
SRR25903843,0.781808889,0.750313101,0.429377338
SRR25903845,0.808533554,0.794309787,0.379906634
SRR25903858,0.853259594,0.818357428,0.526697566
SRR25903861,0.815880725,0.780244542,0.288353651
SRR25903862,0.747144621,0.729482227,0.230365763
SRR25903864,0.692434645,0.667644136,0.261875975
SRR25903872,0.746349707,0.718525832,0.34618072
SRR25903874,0.746944323,0.727602893,0.256989707
SRR25903881,0.786883345,0.763270824,0.275231348
SRR25903889,0.796236133,0.767833675,0.363604326
SRR25903891,0.772865615,0.747028599,0.324293362
SRR25903892,0.761664814,0.735244805,0.331190172
SRR25903894,0.758959282,0.724623117,0.279082788
SRR25903896,0.748836961,0.714916725,0.3133103
SRR25903901,0.790441541,0.768139901,0.365440385
SRR25903907,0.789843063,0.779485822,0.337416371
SRR25903913,0.636230242,0.599090317,0.265015276
SRR25903918,0.802389075,0.783168041,0.307532058
SRR25903921,0.785713705,0.749066423,0.343351645
SRR25903922,0.784585078,0.7697099,0.227113776
SRR25903926,0.759662798,0.723991952,0.42293552
SRR25903933,0.794231683,0.771734844,0.33052738
SRR25903941,0.775353771,0.75653865,0.341077562
SRR25903949,0.85227538,0.846921412,0.391602913
SRR25903954,0.847682056,0.824484351,0.432518303
SRR25903955,0.743395452,0.718912394,0.280450748
SRR25903962,0.817264634,0.792489338,0.397128548
SRR25903967,0.775047917,0.746339697,0.336755885
SRR25903968,0.835572932,0.81045006,0.435506432
SRR25903971,0.817025601,0.785064855,0.42675493
SRR25903972,0.80063685,0.777122627,0.401313019
SRR25903974,0.723595424,0.697633667,0.311968926
SRR25903975,0.768945387,0.747904872,0.340600854
SRR25903976,0.792996272,0.780613083,0.261523017
SRR25903978,0.811182352,0.781924458,0.512907895
SRR25903985,0.78931042,0.779984706,0.156834761
SRR25933599,0.759510586,0.737699643,0.310203813
SRR25933602,0.751820605,0.692002358,0.460937266
SRR25933612,0.718556183,0.701940502,0.202666928
SRR25933616,0.74973014,0.730532037,0.283799489
SRR25933617,0.792747145,0.736414246,0.403776764
SRR25933623,0.726677311,0.711241732,0.275460231
SRR27117388,0.735677569,0.716385915,0.191644567
SRR27117390,0.759862214,0.735938533,0.32947878
SRR27117391,0.630747043,0.604633212,0.23965668
SRR27117394,0.661630902,0.648913878,0.199186199
SRR27117397,0.706733587,0.686527776,0.219853569
SRR27117405,0.888800955,0.884600554,0.068107696
SRR27117407,0.655929219,0.64445092,0.173173458
SRR27117408,0.764492948,0.740002268,0.342712616
SRR27117410,0.80689509,0.748362546,0.50053758
SRR27117412,0.662704596,0.650948442,0.149447593
SRR27117414,0.764182447,0.721435746,0.362437604
SRR27117419,0.710824026,0.696904154,0.198337021
SRR27117420,0.733091901,0.715456918,0.271086867
SRR27117422,0.734270348,0.709965511,0.281742526
SRR27117423,0.726371619,0.68732432,0.446507042
SRR27117424,0.694756662,0.665468152,0.268271223
SRR27117436,0.745684271,0.734303852,0.140419977
SRR27117444,0.798846033,0.784858508,0.246149162
SRR27117446,0.727270536,0.69698765,0.412568758
SRR27117450,0.675455135,0.654422509,0.228590063
SRR27117451,0.733014355,0.712413555,0.258231021
SRR27117453,0.710907376,0.684358673,0.281821776
SRR27117454,0.711765823,0.675552921,0.327781846
SRR27117457,0.771374562,0.743906682,0.248155684
SRR27117458,0.715725647,0.692351462,0.266509366
SRR27117461,0.733824748,0.690748704,0.450466571
SRR27916060,0.73054847,0.712088016,0.260694085
SRR27916068,0.774563596,0.752014836,0.273555698
SRR27916083,0.743714491,0.726218232,0.234431368
SRR28249657,0.759822095,0.731020914,0.310567442
SRR28249668,0.701453252,0.656515055,0.386401012
SRR28249670,0.795099165,0.753330309,0.378660505
SRR28249671,0.760346211,0.740511703,0.263567049
SRR28249674,0.718900011,0.690360099,0.286741283
SRR28282474,0.799018435,0.780922205,0.282432057
SRR28282481,0.783469346,0.751670853,0.415634463
SRR28282489,0.766671526,0.744795783,0.317025636
SRR28282490,0.809358481,0.786287512,0.334413784
SRR28282496,0.721322942,0.701498048,0.230305772
SRR28282501,0.799096306,0.775042988,0.363468176
SRR28282504,0.758389282,0.726747829,0.354745919
SRR28282554,0.767645966,0.743322747,0.278363296
SRR28282570,0.817063163,0.796764202,0.305690587
SRR28282589,0.789626876,0.74434501,0.437651299
