metag_count,acc,organism
13,ERR2597432,pig gut metagenome
13,ERR2597433,pig gut metagenome
12,ERR2597434,pig gut metagenome
13,ERR2597435,pig gut metagenome
13,ERR2597436,pig gut metagenome
13,ERR2597437,pig gut metagenome
13,ERR2597438,pig gut metagenome
13,ERR2597439,pig gut metagenome
13,ERR2597440,pig gut metagenome
13,ERR2597441,pig gut metagenome
13,ERR2597442,pig gut metagenome
13,ERR2597443,pig gut metagenome
13,ERR2597444,pig gut metagenome
13,ERR2597445,pig gut metagenome
13,ERR2597446,pig gut metagenome
13,ERR2597447,pig gut metagenome
13,ERR2597448,pig gut metagenome
13,ERR2597449,pig gut metagenome
13,ERR2597450,pig gut metagenome
13,ERR2597451,pig gut metagenome
13,ERR2597452,pig gut metagenome
13,ERR2597453,pig gut metagenome
13,ERR2597454,pig gut metagenome
13,ERR2597455,pig gut metagenome
13,ERR2597456,pig gut metagenome
13,ERR2597457,pig gut metagenome
13,ERR2597458,pig gut metagenome
13,ERR2597459,pig gut metagenome
13,ERR2597461,pig gut metagenome
13,ERR2597462,pig gut metagenome
13,ERR2597463,pig gut metagenome
12,ERR2597464,pig gut metagenome
12,ERR2597465,pig gut metagenome
13,ERR2597466,pig gut metagenome
13,ERR2597467,pig gut metagenome
13,ERR2597468,pig gut metagenome
13,ERR2597469,pig gut metagenome
13,ERR2597470,pig gut metagenome
13,ERR2597471,pig gut metagenome
12,ERR2597472,pig gut metagenome
13,ERR2597473,pig gut metagenome
13,ERR2597474,pig gut metagenome
13,ERR2597475,pig gut metagenome
13,ERR2597476,pig gut metagenome
13,ERR2597477,pig gut metagenome
13,ERR2597478,pig gut metagenome
14,ERR2597479,pig gut metagenome
14,ERR2597480,pig gut metagenome
14,ERR2597481,pig gut metagenome
14,ERR2597482,pig gut metagenome
14,ERR2597483,pig gut metagenome
14,ERR2597484,pig gut metagenome
13,ERR2597485,pig gut metagenome
13,ERR2597486,pig gut metagenome
14,ERR2597487,pig gut metagenome
13,ERR2597488,pig gut metagenome
14,ERR2597489,pig gut metagenome
14,ERR2597490,pig gut metagenome
14,ERR2597491,pig gut metagenome
13,ERR2597492,pig gut metagenome
13,ERR2597493,pig gut metagenome
14,ERR2597494,pig gut metagenome
14,ERR2597495,pig gut metagenome
13,ERR2597496,pig gut metagenome
13,ERR2597497,pig gut metagenome
13,ERR2597498,pig gut metagenome
13,ERR2597499,pig gut metagenome
14,ERR2597500,pig gut metagenome
13,ERR2597501,pig gut metagenome
13,ERR2597502,pig gut metagenome
13,ERR2597503,pig gut metagenome
13,ERR2597504,pig gut metagenome
13,ERR2597505,pig gut metagenome
13,ERR2597506,pig gut metagenome
14,ERR2597507,pig gut metagenome
13,ERR2597508,pig gut metagenome
13,ERR2597509,pig gut metagenome
13,ERR2597510,pig gut metagenome
14,ERR2597511,pig gut metagenome
13,ERR2597512,pig gut metagenome
13,ERR2597513,pig gut metagenome
13,ERR2597514,pig gut metagenome
13,ERR2597515,pig gut metagenome
13,ERR2597516,pig gut metagenome
13,ERR2597517,pig gut metagenome
14,ERR2597518,pig gut metagenome
13,ERR2597519,pig gut metagenome
13,ERR2597520,pig gut metagenome
14,ERR2597521,pig gut metagenome
14,ERR2597522,pig gut metagenome
14,ERR2597523,pig gut metagenome
14,ERR2597524,pig gut metagenome
14,ERR2597525,pig gut metagenome
12,ERR2597526,pig gut metagenome
13,ERR2597527,pig gut metagenome
13,ERR2597528,pig gut metagenome
13,ERR2597529,pig gut metagenome
14,ERR2597530,pig gut metagenome
13,ERR2597531,pig gut metagenome
14,ERR2597532,pig gut metagenome
13,ERR2597533,pig gut metagenome
13,ERR2597534,pig gut metagenome
14,ERR2597535,pig gut metagenome
14,ERR2597536,pig gut metagenome
14,ERR2597537,pig gut metagenome
13,ERR2597538,pig gut metagenome
14,ERR2597539,pig gut metagenome
13,ERR2597540,pig gut metagenome
14,ERR2597541,pig gut metagenome
13,ERR2597542,pig gut metagenome
14,ERR3393510,pig gut metagenome
14,ERR3393511,pig gut metagenome
14,ERR3393512,pig gut metagenome
14,ERR3393513,pig gut metagenome
14,ERR3393514,pig gut metagenome
14,ERR3393515,pig gut metagenome
12,ERR3393516,pig gut metagenome
14,ERR3393517,pig gut metagenome
