basename,mags_and_gtdb,gtdb,mag_only,gtdb_reps,mags_and_gtdbreps
SRR8960505,0.87551012,0.805891742,0.460478032,0.63415005,0.861643954
SRR8960506,0.881092673,0.808844656,0.499102202,0.603430946,0.864292358
SRR8960507,0.875308658,0.809060082,0.417182481,0.645391773,0.864832627
SRR8960508,0.901794947,0.872016478,0.332254392,0.716355561,0.840373327
SRR8960509,0.895090413,0.834588635,0.435149197,0.65372348,0.870299967
SRR8960510,0.830869306,0.778340701,0.420189244,0.656000165,0.805227193
SRR8960511,0.883912109,0.832243929,0.440678181,0.667547796,0.853772827
SRR8960512,0.758939821,0.701745263,0.437636397,0.590895662,0.737618566
SRR8960513,0.845052853,0.792648452,0.45160165,0.66265582,0.815918235
SRR8960514,0.83747005,0.773098722,0.427460773,0.595521148,0.788793338
SRR8960515,0.743819118,0.633292708,0.399112283,0.546477498,0.743823415
SRR8960516,0.768469369,0.688989337,0.430013472,0.599453705,0.762736625
SRR8960517,0.748068035,0.670217444,0.425155887,0.568912411,0.732432669
SRR8960518,0.838648105,0.772893314,0.474536604,0.635471599,0.826694319
SRR8960519,0.772786323,0.711603218,0.209713235,0.602563115,0.791796583
SRR8960520,0.804057881,0.753048385,0.420699533,0.62257541,0.784437271
SRR8960521,0.848057972,0.783807259,0.472093111,0.651198225,0.829733277
SRR8960522,0.829074173,0.765040881,0.454598311,0.641944565,0.80621233
SRR8960523,0.824500903,0.765529533,0.421372901,0.615300491,0.781750784
SRR8960524,0.82356257,0.76845199,0.453303129,0.631198917,0.81009794
SRR8960525,0.813246561,0.69805703,0.427134239,0.591075915,0.795663247
SRR8960526,0.833897468,0.780942223,0.472542502,0.638300576,0.798661764
SRR8960527,0.851603118,0.803956026,0.476479846,0.636321906,0.820557815
SRR8960528,0.865578559,0.817993184,0.434689954,0.659797937,0.837580297
SRR8960529,0.825171916,0.739663632,0.440697615,0.580186633,0.775095541
SRR8960530,0.833025002,0.754048644,0.455109055,0.59111558,0.790908366
SRR8960531,0.815884365,0.759925973,0.451950681,0.607555807,0.778798478
SRR8960532,0.755592208,0.669429981,0.447725181,0.558840474,0.740351632
SRR8960533,0.799743202,0.753438171,0.427540891,0.637554352,0.779349873
SRR8960538,0.879034829,0.841211283,0.412354833,0.668381845,0.852356396
SRR8960541,0.899963448,0.880511517,0.366524411,0.743636119,0.869738112
SRR8960542,0.90832845,0.85779747,0.436464291,0.694460563,0.87159301
SRR8960543,0.843130737,0.789086445,0.39204249,0.656001676,0.830850349
SRR8960544,0.890192763,0.86307048,0.377201706,0.693551839,0.850681811
SRR8960545,0.834175088,0.771587936,0.471809329,0.607115759,0.79685093
SRR8960547,0.857985758,0.790040444,0.50145229,0.639299199,0.835804402
SRR8960548,0.831770824,0.77001286,0.432426824,0.628416124,0.812714107
SRR8960549,0.771534152,0.709414403,0.44480367,0.606355186,0.757564459
SRR8960550,0.771502961,0.679970508,0.429123036,0.580820488,0.763588392
SRR8960551,0.813379771,0.75463358,0.438760599,0.613048547,0.783980923
SRR8960552,0.864805931,0.820177351,0.476886756,0.661188539,0.832717073
SRR8960553,0.876099571,0.810936908,0.464022125,0.625439339,0.840886725
SRR8960554,0.782946179,0.723977909,0.417303854,0.610875408,0.765321879
SRR8960555,0.815062733,0.761338856,0.422608111,0.659831439,0.805336037
SRR8960556,0.752099146,0.681943623,0.371423832,0.609135917,0.755378245
SRR8960557,0.808378897,0.74429763,0.411717935,0.600077758,0.778037975
SRR8960558,0.859043376,0.791184137,0.480747119,0.626191027,0.835628962
SRR8960559,0.814579415,0.736815123,0.434272118,0.605291628,0.797664523
SRR8960560,0.85901826,0.803157394,0.46651984,0.642286566,0.836295793
SRR8960561,0.858006835,0.809995002,0.448853598,0.660999158,0.831593102
SRR8960562,0.785836458,0.732990537,0.373332127,0.622085656,0.771218011
SRR8960563,0.903979489,0.855922865,0.45284375,0.696527275,0.877604544
SRR8960564,0.836128535,0.786227189,0.412849858,0.631820094,0.818162309
SRR8960565,0.876817388,0.833827226,0.455511302,0.688229786,0.839967513
SRR8960566,0.809195388,0.748853034,0.411207129,0.6263789,0.795919097
SRR8960567,0.843618366,0.789862741,0.425967881,0.629694578,0.810425303
SRR8960568,0.793962096,0.73747495,0.387797619,0.633170745,0.780889051
SRR8960569,0.743192642,0.656376151,0.303442153,0.5905422,0.759091254
SRR8960570,0.821260428,0.770619882,0.430283601,0.63844041,0.79832837
SRR8960571,0.717648527,0.661497407,0.3172022,0.587284465,0.729977372
SRR8960572,0.798624377,0.730621325,0.523756282,0.592273567,0.762867171
SRR8960573,0.838580818,0.781996864,0.432449883,0.636782987,0.801429454
SRR8960574,0.81326871,0.753341608,0.467852524,0.61293188,0.779762946
SRR8960575,0.879005897,0.818636682,0.47696911,0.661064483,0.84045726
SRR8960576,0.853467833,0.800716179,0.431709043,0.655545964,0.830536459
SRR8960577,0.852211943,0.788361922,0.452709423,0.61771774,0.809036881
SRR8960578,0.839952765,0.788848349,0.441878857,0.647925205,0.801655947
SRR8960579,0.81776761,0.765972821,0.465437788,0.653615486,0.797075895
SRR8960580,0.873920252,0.827191734,0.442862308,0.65516902,0.827917647
SRR8960581,0.684714969,0.615804511,0.287423514,0.563286224,0.713860403
SRR8960582,0.857950242,0.811199404,0.465274082,0.666314887,0.822876879
SRR8960583,0.860948543,0.811023641,0.48066713,0.665106238,0.828037233
SRR8960584,0.782351449,0.731552149,0.317334698,0.634411395,0.775614605
SRR8960585,0.865677455,0.821441643,0.482027908,0.654094791,0.830116586
SRR8960586,0.816730141,0.758311314,0.455979674,0.629208436,0.790308195
SRR8960587,0.86076146,0.798476853,0.466896473,0.649840778,0.821637916
SRR8960588,0.830903989,0.785585103,0.404566258,0.68691833,0.827366332
SRR8960589,0.860855331,0.812965472,0.421673358,0.670620005,0.824367738
SRR8960590,0.726849838,0.635664692,0.29168117,0.551948754,0.736087985
SRR8960591,0.817060943,0.740750788,0.44247924,0.626070334,0.789739119
SRR8960592,0.793328755,0.724726386,0.258202107,0.641281794,0.801458329
SRR8960593,0.760586207,0.681160252,0.461110295,0.581838252,0.743714134
SRR8960594,0.83837203,0.790924379,0.475675407,0.6387587,0.807071449
SRR8960595,0.839885252,0.787564126,0.37564411,0.649053758,0.818377167
SRR8960596,0.865420894,0.80730907,0.435226151,0.652805788,0.837015214
SRR8960597,0.847715066,0.792323655,0.435767112,0.655729489,0.820783109
