basename,mags_and_gtdb,gtdb,mags_and_gtdbreps,gtdb_reps,mag_only
SRR11183432,0.789865608,0.719781515,0.766877681,0.59728181,0.53091195
SRR11183433,0.728289199,0.654503976,0.705899874,0.54116417,0.472506297
SRR11183434,0.882163501,0.839315614,0.832131575,0.655373269,0.577068958
SRR11183437,0.83161159,0.766999076,0.790440921,0.613750956,0.606344507
SRR11183438,0.860099087,0.806341591,0.808468166,0.637547995,0.629594953
SRR11183440,0.869805882,0.824843337,0.813643549,0.653026248,0.588281582
SRR11183441,0.842265729,0.776286945,0.799559371,0.617107295,0.587351124
SRR11183444,0.795537525,0.735690978,0.754914369,0.587184992,0.528458418
SRR11183445,0.801710544,0.729258837,0.752668119,0.577773273,0.573960117
SRR11183447,0.860507397,0.810445012,0.80251206,0.612858012,0.62174108
SRR11183449,0.778643066,0.688272117,0.74210723,0.553733381,0.53164611
SRR11183450,0.880929446,0.823079887,0.828103764,0.647659005,0.612823359
SRR11183452,0.881357112,0.824955828,0.848528974,0.62879891,0.615789745
SRR11183454,0.821437956,0.747266558,0.774417988,0.560237578,0.511365216
SRR11183457,0.783196303,0.691763561,0.739446419,0.563667142,0.572801499
SRR11183459,0.79519594,0.717210338,0.741331354,0.572360716,0.55322614
SRR11183460,0.856575629,0.775843383,0.804492157,0.627394349,0.6129951
SRR11183461,0.843553803,0.777965501,0.799536091,0.618773983,0.592471066
SRR11183462,0.816533427,0.740193439,0.761340017,0.593395845,0.615962746
SRR11183465,0.840663222,0.779266139,0.80473553,0.635561567,0.548296135
SRR11183466,0.85503666,0.799947156,0.827303758,0.643621504,0.543760244
SRR11183468,0.824776102,0.737424164,0.796944905,0.571882767,0.558501898
SRR11183470,0.888500623,0.831586135,0.842448957,0.649243656,0.627788672
SRR11183473,0.884130243,0.828173196,0.83894779,0.644462246,0.59469517
SRR11183476,0.850013062,0.778872871,0.808017088,0.633619974,0.592189619
SRR11183477,0.888521502,0.839540887,0.838203134,0.659093045,0.597863762
SRR11183478,0.845078701,0.746600859,0.820575962,0.589232974,0.492264072
SRR11183482,0.802229203,0.703668051,0.765155863,0.587604324,0.595019304
SRR11183483,0.878004912,0.835229959,0.815846051,0.64526959,0.614434184
SRR11183485,0.858925873,0.788856755,0.818460593,0.649431751,0.576565844
SRR11183489,0.872829635,0.825358376,0.828967949,0.633999015,0.577815268
SRR11183490,0.779352719,0.711299023,0.736976255,0.562820974,0.551025286
SRR11183494,0.797732697,0.737890038,0.747353823,0.585931923,0.556221384
SRR11183499,0.803415075,0.727270883,0.757962082,0.587095807,0.553772
SRR11183503,0.81975879,0.765675322,0.768339847,0.601400802,0.566704225
SRR11183511,0.909419736,0.849338369,0.873281603,0.645957409,0.598894101
SRR11183513,0.7059483,0.646573098,0.702866037,0.554441889,0.407730347
SRR11183515,0.784261686,0.668438811,0.752856247,0.559567768,0.498371818
SRR11183516,0.769500931,0.658102152,0.735950236,0.534803907,0.509660467
SRR11183521,0.884966199,0.845530176,0.829064633,0.662401374,0.622328193
SRR11183523,0.814665608,0.754455249,0.761158751,0.596608399,0.574699923
