acc,Bariatricus_sp004560705.branchw,JAFBIX01_sp021531895.branchw,Limosilactobacillus_reuteri.branchw,Lactobacillus_amylovorus.branchw,Sodaliphilus_sp004557565.branchw,UBA2868_sp004552595.branchw,Mogibacterium_A_kristiansenii.branchw,Prevotella_sp002251295.branchw,Cryptobacteroides_sp900546925.branchw,Holdemanella_porci.branchw,Prevotella_pectinovora.branchw,Prevotella_sp000434975.branchw,Fimisoma_sp002320005.branchw,Collinsella_sp002391315.branchw
SRR11126344,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR3003438,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11723725,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR27108374,1,1,1,1,1,1,1,1,0,1,1,1,1,1
SRR28060982,1,1,0,0,0,0,1,0,0,1,0,0,0,1
SRR13618038,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR22588127,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR12349973,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR3764869,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11564893,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11504201,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11504049,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11568999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11569181,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR24884190,1,0,0,0,1,0,1,1,1,1,1,1,0,1
SRR11183931,1,1,1,1,1,1,1,1,1,1,0,0,1,1
SRR11184017,1,1,0,0,1,1,1,1,1,0,0,0,1,0
ERR1136764,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ERR10101856,1,1,0,0,0,0,1,0,0,1,0,0,0,1
ERR11029199,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11029044,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR10238604,1,1,0,0,0,0,1,0,0,1,0,0,1,1
ERR5729222,1,1,0,1,0,1,1,1,1,0,1,0,1,1
SRR31120247,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR3053138,1,1,0,0,1,0,1,1,1,0,1,1,1,0
SRR13077666,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR21938087,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4678579,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR8977422,1,1,0,0,0,0,1,0,0,1,0,1,0,1
SRR26444596,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR18686846,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR6395366,1,1,0,0,0,0,1,0,0,1,0,0,1,1
ERR2759399,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR4335207,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11569808,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11474261,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR31313995,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR10692469,1,1,0,0,0,0,1,0,0,1,0,0,0,1
SRR21938096,1,0,0,0,0,0,1,0,0,1,0,1,0,0
ERR6910947,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ERR4283429,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR4283477,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR13844392,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR18242808,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11564636,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11183337,1,1,0,0,1,1,1,0,1,0,1,1,1,1
SRR8960511,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR11183974,1,1,1,1,1,0,1,0,0,1,0,0,1,1
SRR8242827,1,0,0,0,0,0,1,1,1,0,1,1,1,0
SRR3724036,1,0,0,0,0,0,1,0,0,1,1,0,1,1
ERR2855780,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR589527,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR18498137,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11564433,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11184019,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR11184100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR11477680,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11473683,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR10115199,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR13503358,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR12203218,1,0,1,1,1,1,1,1,1,0,1,0,1,0
SRR11413593,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR12459304,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR1136777,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR2241644,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DRR221393,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ERR3574652,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR11941498,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4398814,1,1,0,0,1,1,1,1,1,1,1,1,1,1
SRR31097937,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR22541648,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR4335245,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11564985,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR11566209,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR11183978,1,1,1,1,1,1,1,1,1,1,0,0,1,1
SRR11124758,1,1,0,1,1,1,1,1,1,1,0,0,1,1
SRR11184055,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR11080599,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11477556,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR7738152,1,0,0,0,1,0,1,1,0,1,0,1,0,1
ERR2641633,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11723729,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR29078356,1,1,1,1,0,0,1,0,0,1,0,0,1,1
ERR1600631,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR13077840,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11793664,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR11126104,1,1,1,1,1,1,1,1,1,1,0,0,1,1
SRR14160106,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11457626,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ERR11474021,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ERR2641584,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR25667263,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR24987901,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6122179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR24315726,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ERR12337549,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11569348,1,0,0,0,0,0,1,0,0,0,0,0,0,1
SRR15292440,1,0,0,0,0,0,0,0,0,1,1,1,0,1
SRR11126275,1,1,1,1,1,1,1,1,1,1,0,0,1,1
SRR8960462,1,1,1,1,1,0,1,0,0,1,1,1,1,0
ERR11473372,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11473690,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR13348783,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ERR2241678,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR16329136,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR28555601,1,1,0,0,0,0,1,0,0,1,0,1,0,1
DRR221423,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR4334222,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR1600611,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR1135257,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR10680817,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR8960484,1,1,1,1,1,1,1,1,1,1,1,0,1,1
SRR11183927,1,1,1,1,0,0,1,0,1,1,0,0,1,1
SRR8960180,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR209875,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11473222,1,0,0,0,0,0,1,0,0,1,1,1,0,1
SRR21938914,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR24962620,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR16329137,1,1,0,0,0,0,1,0,0,1,0,0,1,1
SRR11845630,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR6395249,1,1,0,0,0,0,1,0,0,0,0,0,0,1
ERR1135272,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR25701179,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SRR24884097,1,0,0,0,0,0,0,0,0,1,0,1,0,1
SRR11183692,1,1,0,1,1,1,1,1,0,1,0,0,1,0
SRR11125795,1,1,0,1,0,1,1,1,1,1,0,0,1,1
ERR11477243,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR20662468,1,1,0,1,1,1,1,1,1,1,1,1,1,1
ERR7197642,1,0,0,1,0,0,0,1,0,0,0,0,0,0
SRR10692148,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10692205,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR13208902,1,1,0,0,0,0,1,0,0,1,0,1,0,1
SRR10816079,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR3004243,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR7182041,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR28555615,1,1,0,0,0,0,0,1,1,1,1,1,0,1
ERR4283409,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR30237472,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR11183984,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR11473258,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11473397,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR11472953,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR10692630,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR12875508,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SRR11304942,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR10115175,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11566315,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR6231209,1,1,0,0,0,0,1,1,0,1,1,1,0,1
ERR11478500,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR21938414,1,1,0,0,0,0,0,0,0,1,0,1,0,0
ERR5729341,1,1,0,0,1,1,1,1,1,1,1,1,1,1
ERR2597471,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR8898533,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR1539646,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR13061044,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR17827946,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR17241685,1,1,1,1,0,0,1,0,1,1,1,1,1,1
SRR17241485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR5371409,1,0,0,0,1,1,1,1,1,0,1,1,1,0
ERR11504509,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR5883799,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR414449,1,0,0,0,0,0,1,0,0,0,1,1,0,1
SRR11183847,1,1,1,1,1,1,1,1,1,1,0,0,1,1
ERR1136787,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11456631,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10692303,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1539600,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR17335712,1,1,0,1,1,0,1,0,1,1,0,0,1,1
ERR6910991,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR30834778,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11564705,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR19487613,1,0,0,0,0,0,0,0,0,1,0,1,0,0
SRR8960291,1,1,1,1,1,0,1,0,1,1,1,1,1,1
ERR1137201,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11478408,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR4398793,1,1,0,1,1,1,1,1,1,1,1,1,1,1
SRR11805640,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR22402344,1,1,0,0,0,0,1,0,0,0,0,0,0,0
SRR5678980,1,0,0,0,1,0,0,1,1,0,0,1,0,0
SRR24987961,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR6177888,1,1,0,0,0,0,0,0,0,1,0,0,0,1
SRR5056846,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR2020021,1,0,0,1,1,0,1,1,1,1,1,1,1,0
ERR11564526,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR8198116,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR11123012,1,0,0,0,1,0,1,1,1,0,1,1,1,1
SRR11125023,1,1,1,1,0,1,1,1,1,1,0,0,1,0
SRR11183788,1,1,1,1,1,0,1,0,0,1,0,0,1,1
ERR11456972,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR11472943,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11477024,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR5195766,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2607436,1,0,0,0,0,0,1,0,0,1,1,1,0,1
SRR13060965,1,1,0,0,0,0,0,0,0,1,0,0,0,1
SRR11805599,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR25936391,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR22574019,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4330075,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR11183829,1,0,1,1,1,1,1,0,1,0,0,0,1,0
SRR11126238,1,1,0,1,0,1,1,0,0,0,0,0,1,0
ERR11457999,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR10692123,1,1,0,0,0,0,1,0,0,0,0,1,0,0
SRR21462972,1,1,1,1,0,1,1,0,0,1,0,0,1,1
ERR1539416,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR4290622,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR30834734,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR11504456,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11570276,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR30155015,1,0,0,0,0,0,0,0,1,0,0,0,0,1
SRR19487792,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11474290,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11473706,1,0,0,0,0,0,0,0,0,0,0,0,0,1
