user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_SRR8960477_MAG06	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai
AtH2023_SRR8960477_MAG07	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp934162535
AtH2023_SRR8960477_MAG08	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus mucosae
AtH2023_SRR8960477_MAG09	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp000285855
AtH2023_SRR8960477_MAG10	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp000434475
AtH2023_SRR8960477_MAG11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp004552115
AtH2023_SRR8960477_MAG12	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia timonensis
AtH2023_SRR8960477_MAG13	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_SRR8960477_MAG14	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella porci
AtH2023_SRR8960477_MAG15	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251295
AtH2023_SRR8960477_MAG16	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Paratractidigestivibacter	Paratractidigestivibacter faecalis
AtH2023_SRR8960477_MAG17	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000432655
AtH2023_SRR8960486_MAG01	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Eubacterium_T	Eubacterium_T saphenum_A
AtH2023_SRR8960486_MAG02	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella sp900552935
AtH2023_SRR8960486_MAG03	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	VUNA01	VUNA01 sp002299625
AtH2023_SRR8960486_MAG04	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp900539965
AtH2023_SRR8960486_MAG05	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri
AtH2023_SRR8960486_MAG06	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium xerosis
AtH2023_SRR8960486_MAG07	Bacteria	Bacillota	Bacilli	RF39	UBA660	UMGS1449	
AtH2023_SRR8960486_MAG08	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis
AtH2023_SRR8960486_MAG09	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	SFMI01	SFMI01 sp004556155
AtH2023_SRR8960486_MAG10	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_SRR8960486_MAG11	Bacteria	Bacillota	Bacilli	RF39	UBA660	Faecimonas	Faecimonas sp022771205
AtH2023_SRR8960486_MAG12	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella porci
AtH2023_SRR8960486_MAG13	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas sp003487665
AtH2023_SRR8960486_MAG14	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp000434475
AtH2023_SRR8960490_MAG1	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900548625
AtH2023_SRR8960490_MAG2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp001701165
AtH2023_SRR8960490_MAG3	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp900545545
AtH2023_SRR8960490_MAG4	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	VUNA01	VUNA01 sp002299625
AtH2023_SRR8960490_MAG5	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	PeH17	PeH17 sp000435055
AtH2023_SRR8960490_MAG6	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis
AtH2023_SRR8960490_MAG7	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp003522105
AtH2023_SRR8960490_MAG8	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	Phil1	Phil1 sp001940855
AtH2023_SRR8960492_MAG01	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp900545545
AtH2023_SRR8960492_MAG02	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio porci
AtH2023_SRR8960492_MAG03	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855
AtH2023_SRR8960492_MAG04	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002391315
AtH2023_SRR8960492_MAG05	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas sp900545495
AtH2023_SRR8960492_MAG06	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
AtH2023_SRR8960492_MAG07	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	Lentihominibacter sp022775805
AtH2023_SRR8960492_MAG08	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas sp001916855
AtH2023_SRR8960492_MAG09	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp004557565
AtH2023_SRR8960492_MAG10	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000431015
AtH2023_SRR8960492_MAG11	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
AtH2023_SRR8960492_MAG12	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp004557855
AtH2023_SRR8960492_MAG13	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Floccifex	Floccifex porci
AtH2023_SRR8960492_MAG14	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000434935
AtH2023_SRR8960492_MAG15	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	JAFBIX01	JAFBIX01 sp021531895
AtH2023_SRR8960492_MAG16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus
AtH2023_SRR8960492_MAG17	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai
AtH2023_SRR8960492_MAG18	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	Phil1	Phil1 sp001940855
AtH2023_SRR8960492_MAG19	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter massiliensis
AtH2023_SRR8960498_MAG01	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	SFMI01	SFMI01 sp004556155
AtH2023_SRR8960498_MAG02	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens
AtH2023_SRR8960498_MAG03	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	VUNA01	VUNA01 sp002299625
AtH2023_SRR8960498_MAG04	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	SFDP01	SFDP01 sp004558185
