rank,name,diff,first_tax,second_tax
phylum,p__Campylobacterota,0.01459964528269239,0.01459964528269239,0.0
phylum,p__Chloroflexota,0.007029458839814855,0.007029458839814855,0.0
phylum,p__Halobacteriota,0.007029458839814855,0.007029458839814855,0.0
phylum,p__Chrysiogenota,-0.00660320069227707,0.021629104122507244,0.028232304814784316
phylum,p__Desulfobacterota,0.005948003633689493,0.005948003633689493,0.0
phylum,p__Elusimicrobiota,0.005043538458681068,0.15032227365142536,0.1452787351927443
phylum,p__Synergistota,0.004325820824501449,0.004325820824501449,0.0
phylum,p__Fusobacteriota,0.004325820824501449,0.004325820824501449,0.0
phylum,p__Vulcanimicrobiota,0.0037850932214387677,0.0037850932214387677,0.0
phylum,p__Planctomycetota,0.0037850932214387677,0.0037850932214387677,0.0
