rank,name,diff,first_tax,second_tax
phylum,p__Bdellovibrionota,0.00011188460669204209,0.00011188460669204209,0.0
superkingdom,d__Bacteria,0.011624527753562042,100.0,99.98837547224643
superkingdom,d__Archaea,-0.011624527753560012,0.0,0.011624527753560012
class,c__Gammaproteobacteria,9.175936217567775,11.072770073837763,1.8968338562699854
class,c__Bacilli,-9.103454805869692,88.78540739406725,97.88886219993694
class,c__Clostridia,0.026365161923249725,0.04325426432375415,0.01688910240050442
class,c__Bacteroidia,0.01607345552070029,0.03521443824127196,0.019140982720571676
class,c__Actinomycetes,0.014305422799526454,0.031194525200030875,0.01688910240050442
class,c__Spirochaetia,0.013346111296920425,0.013346111296920425,0.0
class,c__Alphaproteobacteria,0.007075046952584321,0.007075046952584321,0.0
class,c__Campylobacteria,0.006914250430934677,0.006914250430934677,0.0
